# Zones

## General
PlayerInitRequestHandler.LevelCap:			            You have exceeded the level cap of this battleground!
PlayerInitRequestHandler.SaferLocation:			        This area isn't currently secure and you are being transported to a safer location.
PlayerPositionUpdateHandler.UnknownZone:		        Unknown zone, moving to bind point.

## Battlegrounds
Zone.Description.Braemar:							Braemar
Zone.ScreenDescription.Braemar:						Braemar
Zone.Description.CathalValley:						Cathal Valley
Zone.ScreenDescription.CathalValley:				Cathal Valley
Zone.Description.Killaloe:							Killaloe
Zone.ScreenDescription.Killaloe:					Killaloe
Zone.Description.Leirvik:							Leirvik
Zone.ScreenDescription.Leirvik:						Leirvik
Zone.Description.Molvik:							Molvik
Zone.ScreenDescription.Molvik:						Molvik
Zone.Description.TheHillsofClaret:					The Hills of Claret
Zone.ScreenDescription.TheHillsofClaret:			The Hills of Claret
Zone.Description.TheLionsDen:						The Lions Den
Zone.ScreenDescription.TheLionsDen:					The Lions Den
Zone.Description.TheProvingGrounds:					The Proving Grounds
Zone.ScreenDescription.TheProvingGrounds:			The Proving Grounds
Zone.Description.TestBG:							TestBG
Zone.ScreenDescription.TestBG:						TestBG
Zone.Description.Thidranki:							Thidranki
Zone.ScreenDescription.Thidranki:					Thidranki
Zone.Description.Wilton:							Wilton
Zone.ScreenDescription.Wilton:						Wilton

## RvR
Zone.Description.DarknessFalls:						Darkness Falls
Zone.ScreenDescription.DarknessFalls:				Darkness Falls
Zone.Description.Demonsbreach:						Demons' Breach
Zone.ScreenDescription.Demonsbreach:				Demons' Breach
Zone.Description.Summoner'sHall:					Summoner's Hall
Zone.ScreenDescription.Summoner'sHall:				Summoner's Hall


## Albion
### Capital
Zone.Description.CityofCamelot:						City of Camelot
Zone.ScreenDescription.CityofCamelot:				City of Camelot

### Classic
Zone.Description.AvalonMarsh:						Avalon Marsh
Zone.ScreenDescription.AvalonMarsh:					Avalon Marsh
Zone.Description.BlackMtns.North:					Black Mtns. North
Zone.ScreenDescription.BlackMtns.North:				Black Mtns. North
Zone.Description.BlackMtns.South:					Black Mtns. South
Zone.ScreenDescription.BlackMtns.South:			    Black Mtns. South
Zone.Description.CamelotHills:						Camelot Hills
Zone.ScreenDescription.CamelotHills:				Camelot Hills
Zone.Description.CampacorentinForest:				Campacorentin Forest
Zone.ScreenDescription.CampacorentinForest:			Campacorentin Forest
Zone.Description.Cornwall:							Cornwall
Zone.ScreenDescription.Cornwall:					Cornwall
Zone.Description.Dartmoor:							Dartmoor
Zone.ScreenDescription.Dartmoor:					Dartmoor
Zone.Description.LlynBarfog:						Llyn Barfog
Zone.ScreenDescription.Llyn Barfog:					Llyn Barfog
Zone.Description.Lyonesse:							Lyonesse
Zone.ScreenDescription.Lyonesse:					Lyonesse
Zone.Description.SalisburyPlains:					Salisbury Plains
Zone.ScreenDescription.SalisburyPlains:				Salisbury Plains

### Dungeons
Zone.Description.AvalonCity:						Avalon City
Zone.ScreenDescription.AvalonCity:					Avalon City
Zone.Description.CaerSidi:							Caer Sidi
Zone.ScreenDescription.CaerSidi:					Caer Sidi
Zone.Description.CatacombsofCardova:				Catacombs of Cardova
Zone.ScreenDescription.CatacombsofCardova:			Catacombs of Cardova
Zone.Description.CrystalCave:						Crystal Cave
Zone.ScreenDescription.CrystalCave:					Crystal Cave
Zone.Description.KeltoiFogou:						Keltoi Fogou
Zone.ScreenDescription.KeltoiFogou:					Keltoi Fogou
Zone.Description.Krondon:							Krondon
Zone.ScreenDescription.Krondon:						Krondon
Zone.Description.StonehengeBarrows:					Stonehenge Barrows
Zone.ScreenDescription.StonehengeBarrows:			Stonehenge Barrows
Zone.Description.Tepok'sMine:						Tepok's Mine
Zone.ScreenDescription.Tepok'sMine:					Tepok's Mine
Zone.Description.TombofMithra:						Tomb of Mithra
Zone.ScreenDescription.TombofMithra:				Tomb of Mithra

### Frontier
Zone.Description.ForestSauvage:						Forest Sauvage
Zone.ScreenDescription.ForestSauvage:				Forest Sauvage
Zone.Description.Hadrian'sWall:						Hadrian's Wall
Zone.ScreenDescription.Hadrian'sWall:				Hadrian's Wall
Zone.Description.PennineMountains:					Pennine Mountains
Zone.ScreenDescription.PennineMountains:			Pennine Mountains
Zone.Description.Snowdonia:							Snowdonia
Zone.ScreenDescription.Snowdonia:					Snowdonia

### Housing
Zone.Description.Aylesbury:							Aylesbury
Zone.ScreenDescription.Aylesbury:					Aylesbury
Zone.Description.Brisworthy:						Brisworthy
Zone.ScreenDescription.Brisworthy:					Brisworthy
Zone.Description.Caerwent:							Caerwent
Zone.ScreenDescription.Caerwent:					Caerwent
Zone.Description.Chiltern:							Chiltern
Zone.ScreenDescription.Chiltern:					Chiltern
Zone.Description.Dalton:							Dalton
Zone.ScreenDescription.Dalton:						Dalton
Zone.Description.OldSarum:							Old Sarum
Zone.ScreenDescription.OldSarum:					Old Sarum
Zone.Description.Rilan:								Rilan
Zone.ScreenDescription.Rilan:						Rilan
Zone.Description.Sherborne:							Sherborne
Zone.ScreenDescription.Sherborne:					Sherborne
Zone.Description.Stoneleigh:						Stoneleigh
Zone.ScreenDescription.Stoneleigh:					Stoneleigh

## Shrouded Isles
Zone.Description.Aldland:							Aldland
Zone.ScreenDescription.Aldland:						Aldland
Zone.Description.AvalonIsle:						Avalon Isle
Zone.ScreenDescription.AvalonIsle:					Avalon Isle
Zone.Description.Caldey:							Caldey
Zone.ScreenDescription.Caldey:						Caldey
Zone.Description.DalesofDevwy:						Dales of Devwy
Zone.ScreenDescription.DalesofDevwy:				Dales of Devwy
Zone.Description.Gwyddneau:							Gwyddneau
Zone.ScreenDescription.Gwyddneau:					Gwyddneau
Zone.Description.InishailIsland:					Inishail Island
Zone.ScreenDescription.InishailIsland:				Inishail Island
Zone.Description.IsleofGlass:						Isle of Glass
Zone.ScreenDescription.IsleofGlass:					Isle of Glass

## Hibernia
### Capital
Zone.Description.TirnaNog:							Tir na Nog
Zone.ScreenDescription.TirnaNog:					Tir na Nog

### Classic
Zone.Description.BogofCullen:						Bog of Cullen
Zone.ScreenDescription.BogofCullen:					Bog of Cullen
Zone.Description.CliffsofMoher:						Cliffs of Moher
Zone.ScreenDescription.CliffsofMoher:				Cliffs of Moher
Zone.Description.Connacht:							Connacht
Zone.ScreenDescription.Connacht:					Connacht
Zone.Description.CursedForest:						Cursed Forest
Zone.ScreenDescription.CursedForest:				Cursed Forest
Zone.Description.LoughDerg:							Lough Derg
Zone.ScreenDescription.LoughDerg:					Lough Derg
Zone.Description.LoughGur:							Lough Gur
Zone.ScreenDescription.LoughGur:					Lough Gur
Zone.Description.ShannonEstuary:					Shannon Estuary
Zone.ScreenDescription.ShannonEstuary:				Shannon Estuary
Zone.Description.SheeroeHills:						Sheeroe Hills
Zone.ScreenDescription.SheeroeHills:				Sheeroe Hills
Zone.Description.SilvermineMts.:					Silvermine Mts.
