# General Language

## Languages
System.LanguagesName.EN:				English
System.LanguagesName.IT:				Italian
System.LanguagesName.FR:				French
System.LanguagesName.DE:				German

## Social
### Player Login
PlayerInitRequestHandler.AllianceMessage:		        Alliance Message: {0}
PlayerInitRequestHandler.GuildMessage:			        Guild Message:
PlayerInitRequestHandler.OfficerMessage:		            Officer Message: {0}

## Player Enter/Exit
Scripts.Events.PlayerEnterExit.Entered:			        {0} just entered the game!
Scripts.Events.PlayerEnterExit.Left:			        {0} just left the game!
Scripts.Events.PlayerEnterExit.Staff:			        [Staff Member] {0}

